Timestamp	Gender	Age	How extroverted are you?	How confident are you?	How individualistic are you?	How organized are you?	How dominant are you?	How impulsive are you?	How libidinous are you?	How ambitious are you?	How altruistic are you?	Sexual orientation	How courageous are you?	Which are most awesome?	Which are most awesome?	Who is most awesome?	Which is most awesome?	Which are most awesome?	Which are most awesome?	Which is most awesome?	Which are most awesome?	Who is most awesome?	Which is most awesome?	How detail oriented are you?	
10/31/2014 14:34:19	Female	30		4	3		2	4	5	2	4	Straight		Vampires	Wizards	Batman		Ninjas	Warrior Princesses		Elves	Sherlock Holmes	Greek Mythology		
10/31/2014 15:24:08	Male	40		3	3		3	2	4	3	3	Straight		Zombies	Wizards	Superman		Ninjas	Nymphs		Elves	Sherlock Holmes	Greek Mythology		
10/31/2014 16:00:06	Female	28		3	2		3	4	4	3	3	Straight		Werewolves	Rogues	Batman		Pirates	Nymphs		Elves	Robin Hood	Celtic Mythology		
10/31/2014 16:10:47	Female	38		5	3		3	4	4	4	5	Straight		Vampires	Rogues	Batman		Pirates	Warrior Princesses		Elves	Sherlock Holmes	Celtic Mythology		
10/31/2014 16:18:46	Female	30		4	4		5	4	3	5	3	Bisexual		Werewolves	Wizards	Batman		Pirates	Witches		Elves	Sherlock Holmes	Norse Mythology		
10/31/2014 16:19:29		25		4	3		3	2	3	3	3	Bisexual		Vampires	Wizards	Batman		Pirates	Witches		Elves	Sherlock Holmes	Celtic Mythology		
10/31/2014 16:34:21	Female	35		5	4		3	2	5	5	3	Bisexual		Vampires	Wizards	Batman		Pirates	Warrior Princesses		Elves	Sherlock Holmes	Norse Mythology		
10/31/2014 16:46:48	Female	45		3	2		3	2	2	2	3	Straight		Werewolves	Wizards	Batman		Ninjas	Warrior Princesses		Elves	Sherlock Holmes	Norse Mythology		
10/31/2014 17:08:47	Female	44		4	5		3	4	4	2	4	Straight		Werewolves	Wizards	Superman		Pirates	Warrior Princesses		Elves	Sherlock Holmes	Celtic Mythology		
10/31/2014 17:12:31	Male	27		3	3		4	5	2	2	1	Straight		Zombies	Rogues	Batman		Pirates	Nymphs		Elves	Sherlock Holmes	Greek Mythology		
