"CSA_AA.Entire_Root_.Mexican_Pop._1." "CSA_AB.Entire_Root_.Mexican_Pop._2." "CSA_AC.Entire_Root_.Mexican_Pop._3." "CSA_AD.Entire_Petioles_.Mexican_Pop._1." "CSA_AF.Buds_.Mexican_Pop._1." "CSA_AG.Buds_.Mexican_Pop._3." "CSA_AH.Mature_Flower_.Mexican_Pop._1." "CSA_AI.Mature_Flower_.Mexican_Pop._2." "CSA_AJ.Mature_Flower_.Mexican_Pop._3." "CSA_AK.Young_Leaf_.Mexican_Pop._1." "CSA_AL.Young_Leaf_.Mexican_Pop._2." "CSA_AM.Young_Leaf_.Mexican_Pop._3." "CSA_AN.Mature_Leaf_.Mexican_Pop._2." "CSA_AO.Entire_Primary_Stem_.Mexican_Pop._3." "CSA_AP.Buds_.Mexican_Pop._2." "CSA_AQ.Mature_Leaf_.Mexican_Pop._1." "CSA_AR.Mature_Leaf_.Mexican_Pop._3."
"10068_iso_5_len_2266_ver_2" 18.94 22.03 17.94 28.26 16.32 10.89 15.01 14.73 13.81 13.28 15.72 15.68 12.92 26.01 11.71 14.75 12.24
"10069_iso_1_len_851_ver_2" 1.33 1.43 0.93 0 2.3 2.52 1.26 0 2.98 0 0 0 0 0 4.34 1.13 0
"10071_iso_4_len_1000_ver_2" 6.03 6.74 5.26 9.55 40.56 16.65 47.21 14.98 94.2 272.57 176.24 278.1 359.46 13.32 24.78 369.07 278.1
"10073_iso_1_len_911_ver_2" 0 0 0 0 22.51 41.66 15.72 18.75 31.85 7.87 5.14 4.7 3.11 0 26.04 7.81 16.91
"10074_iso_1_len_3357_ver_2" 18.07 16.91 15.63 24.03 34.37 26.52 36.91 41.56 28.75 14.49 15.2 20.46 18.89 20.92 29.48 17.9 19.46
"10075_iso_1_len_2428_ver_2" 8.52 7.62 9.57 11.4 8 7.09 10.69 11.14 8.66 5.77 9.31 9.45 7.02 12.12 10.15 7.19 8.07
"10076_iso_1_len_885_ver_2" 0 0 0 2.34 33.4 23.13 25.41 23.85 29.44 15.43 19.78 19.27 14.24 1.29 36.74 15.44 22.69
"10077_iso_3_len_790_ver_2" 13.17 14.38 15 27.49 34.86 19.06 34.14 34.92 32.99 40.31 26.03 40.66 33.94 21.57 25.69 27.71 33.59
"10078_iso_5_len_2296_ver_2" 50.02 49.37 51.93 39.27 28.97 18.77 29.98 26.12 29.25 47.34 41.41 54.44 68.89 33.9 23.22 80.2 54.1
"10079_iso_1_len_1450_ver_2" 13.54 13.61 13.28 17.35 7.25 7.36 10.67 7.9 10.65 14.39 15.91 19.03 15.73 20.29 8.02 16.53 21.17
"1007_iso_3_len_2631_ver_2" 4.07 4.76 4.61 14.9 5.81 3.91 7.4 7.45 6.53 12.45 11.5 13.48 30.02 14.84 5.13 37.4 14.21
"10080_iso_4_len_1715_ver_2" 18.54 17.7 16.74 27.21 32.41 21.2 37.9 29.73 27.43 44.37 32.02 42.85 55.47 30.4 24.63 47.49 34.91
"10081_iso_1_len_2870_ver_2" 10.46 9.46 9.33 10.23 9.71 5.94 11.14 11.23 9.18 11.69 13.96 12.41 9.78 10.39 9.78 11.84 7.75
"10082_iso_1_len_2821_ver_2" 7.27 6.31 7.27 9.84 5.7 4.43 7.26 7.31 6.6 6.77 7.66 7.88 10.34 7.19 9.03 6.7 3.64
"10083_iso_4_len_1941_ver_2" 43.28 47.64 46.43 45.26 36.13 29.48 40.6 35.13 31.3 33.46 43.48 39.58 36.7 31.33 27.7 53.2 39.13
"10084_iso_1_len_937_ver_2" 0 0 0 0 3.83 2.14 3.33 2.18 3.31 1.86 0 2.02 0 0 0 0 2.24
"10085_iso_4_len_1124_ver_2" 23.28 27.12 24.73 21.99 37.4 38.36 33.76 33.79 36.61 35.83 28.5 40.56 28.35 25.49 28.24 31.91 53.05
"10086_iso_1_len_1309_ver_2" 2.39 2.45 2.44 5.21 7.35 5.65 10.93 5.01 17.73 56.78 39.61 58.52 78.19 9.86 5.17 83.73 58.82
"10087_iso_7_len_1989_ver_2" 11.71 11.48 10.67 17.79 12.37 11.38 13.69 11.15 15.51 13.78 15.65 13.74 12.85 16.72 10.31 21.06 24.34
"10088_iso_4_len_2181_ver_2" 25.81 26.66 28.15 35.9 26.07 21.27 34.04 32.91 28.65 23.6 28.38 27.03 30.72 46.86 37.26 31.37 22.81
"10089_iso_1_len_1189_ver_2" 15.02 17.93 15.96 15.17 13.84 8.24 12.44 10.17 10.65 12.39 13.55 16.94 14.75 20.32 12.48 20.9 16.72
"1008_iso_3_len_1261_ver_2" 55.28 63.79 53.22 49.61 33.7 45.19 31.91 29.94 40.29 40.61 43.87 44.01 46.63 73.11 35.33 64.99 60.43
"10090_iso_4_len_3002_ver_2" 19.54 18.45 17.07 27.98 20.12 11.23 18.9 20.42 16.69 14.07 14.78 14.67 15.42 21.06 20 19.11 15.49
"10092_iso_1_len_349_ver_2" 0 0 0 0 0 0 0 0 5.98 0 21.83 5.79 10.4 0 0 15.27 3.73
"10093_iso_2_len_4109_ver_2" 13.65 11.11 12.36 10.33 11.46 7.61 23.35 23.63 11.32 14.67 10.94 13.72 19.21 12.22 15.19 13.92 6.6
"10094_iso_2_len_1370_ver_2" 18.26 14.62 15.84 12.87 14.18 7.61 10.48 12.17 9.62 5.17 12.6 7.47 8.91 12.86 10.51 10.39 9.1
"10097_iso_1_len_1845_ver_2" 33.82 35.67 40.03 42.93 30.52 33.17 48.78 49.33 31.7 27.42 28.15 28.97 37.02 38.07 31.83 23.96 21.8
"10098_iso_1_len_806_ver_2" 5.53 6.24 6.19 6.36 8.95 6 9.78 6.21 10.48 20.28 11.98 20.62 19.8 7.2 9.97 27.68 18.52
"10099_iso_3_len_1594_ver_2" 11.42 13.82 10.6 26.26 25.88 15.67 14.9 10.42 25.44 18.02 42.1 19.86 21.7 39.04 19.81 66.83 59.16
"1009_iso_6_len_715_ver_2" 25.07 28.26 36.97 48.74 112.4 107.87 294.71 186.03 130.78 466.62 227.19 480.89 588.54 22.28 67.16 218.56 219.49
"100_iso_2_len_1611_ver_2" 15.25 14.66 13.61 7.24 37.8 30.35 33.84 35.86 28.61 8.33 21.65 18.49 11.42 8.58 28.81 12.03 21.38
"10100_iso_1_len_897_ver_2" 19.63 25.43 24.17 40.46 2.97 2.98 7.31 5.55 4.37 8.19 3.3 7.22 15.56 30.33 0 6.11 2.97
"10102_iso_3_len_838_ver_2" 22.16 42.36 21.51 119.73 139.21 154.57 29.91 17.99 112.91 185.52 442.08 217.71 136.49 34.83 139.14 509.24 463.91
"10103_iso_3_len_1013_ver_2" 44.85 47.69 41.99 72.9 39.42 15.64 23.51 27.73 29.66 8.77 19.86 11.66 6.47 151.15 23.45 11.62 11.01
"10104_iso_2_len_1591_ver_2" 119.67 123.88 141.69 65.19 46.02 38.42 69.59 45.25 52.82 338.98 148.03 260.81 274.7 68.84 19.84 213.41 296.42
"10105_iso_1_len_1912_ver_2" 8.19 11.41 7.15 40.55 2.37 1.51 2.19 2.7 2.48 2.69 11.24 5.52 9.88 26.55 1.76 8.47 6.7
"10106_iso_3_len_1377_ver_2" 50.1 56.78 45.97 80.52 57.99 44.64 43.18 41.06 56.78 36.98 61.62 45.71 40.57 87.43 32.1 75.35 89.21
"10107_iso_3_len_1743_ver_2" 9.71 9.41 9.85 11.89 15.13 8.51 17.2 12.48 16.54 42.46 27.06 47.76 51.11 15.53 11.72 61.22 51.38
