"CSA_AA.Entire_Root_.Mexican_Pop._1." "CSA_AB.Entire_Root_.Mexican_Pop._2." "CSA_AC.Entire_Root_.Mexican_Pop._3." "CSA_AD.Entire_Petioles_.Mexican_Pop._1." "CSA_AF.Buds_.Mexican_Pop._1." "CSA_AG.Buds_.Mexican_Pop._3." "CSA_AH.Mature_Flower_.Mexican_Pop._1." "CSA_AI.Mature_Flower_.Mexican_Pop._2." "CSA_AJ.Mature_Flower_.Mexican_Pop._3." "CSA_AK.Young_Leaf_.Mexican_Pop._1." "CSA_AL.Young_Leaf_.Mexican_Pop._2." "CSA_AM.Young_Leaf_.Mexican_Pop._3." "CSA_AN.Mature_Leaf_.Mexican_Pop._2." "CSA_AO.Entire_Primary_Stem_.Mexican_Pop._3." "CSA_AP.Buds_.Mexican_Pop._2." "CSA_AQ.Mature_Leaf_.Mexican_Pop._1." "CSA_AR.Mature_Leaf_.Mexican_Pop._3."
"25492_iso_1_len_495_ver_2" 1.47 2.4 0 3.6 0 0 0 0 0 0 0 0 0 0 0 2.01 2.78
"25494_iso_7_len_1933_ver_2" 58.05 52.93 51.88 4.61 10.03 10.6 6.72 5.61 2.98 1.37 13.11 2.95 2.73 3.75 3.86 4.43 4.66
"25496_iso_1_len_1207_ver_2" 3.23 3.05 2.13 4.13 4.21 3.84 3.44 4.24 3.4 1.87 3.44 2.37 1.68 5.17 3.44 0.95 3.55
"25497_iso_1_len_1489_ver_2" 1.82 2.51 2.14 7.76 3.53 3.18 3.28 3.29 3.12 2.2 5.05 3.43 1.73 4.57 3.69 1.59 5.35
"25498_iso_1_len_277_ver_2" 4.74 0 0 3.82 0 0 0 0 0 0 0 0 0 3.31 0 0 0
"25499_iso_1_len_858_ver_2" 0 0 0 1.69 28.99 44.81 14.24 19.04 29.86 7.15 4.32 5.7 2.65 0 25.64 9.32 11.01
"2549_iso_5_len_1666_ver_2" 10.42 10.06 9.71 20.71 23.16 15.61 19.23 19.69 19.56 10.11 13.37 11.7 10.44 23.65 20.2 13.6 14.77
"254_iso_1_len_2338_ver_2" 12.76 13.48 12.97 13.14 12.25 11.73 16.74 15.9 13.71 11.98 9.26 10.12 10.76 18.06 17.39 9.44 9.31
"25501_iso_1_len_344_ver_2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.79
"25502_iso_1_len_1600_ver_2" 2.86 1.6 2.06 2.91 0 0 1.55 1.56 0.93 3.76 4.09 4.1 2.72 2.59 0.94 5.26 1.23
"25503_iso_1_len_547_ver_2" 0 0 0 0 16.93 16.05 10.72 18.31 18.15 5.58 0 4.86 3.19 0 31.19 3.79 11.65
"25505_iso_1_len_298_ver_2" 4.36 4.44 2.87 2.77 0 0 0 0 0 0 0 0 0 3.32 0 4.2 0
"25506_iso_1_len_442_ver_2" 4.73 4.79 4 2.52 0 0 0 0 0 0 0 2.59 0 2.33 0 3.51 3.14
"25507_iso_1_len_531_ver_2" 0 0 0 1.47 17.48 26.92 4.87 5.86 16.73 0 0 5.6 0 0 27.52 8 18.89
"25509_iso_1_len_277_ver_2" 0 0 0 0 0 0 0 0 4.56 0 0 0 0 0 0 0 0
"2550_iso_1_len_1824_ver_2" 3.1 3.38 2.5 4.71 11.41 6.9 19.74 10.65 30.53 85.31 97.76 100.52 133.29 4.29 8.05 143.82 86.6
"25510_iso_2_len_609_ver_2" 0 0 0 0 15.62 17.67 11.48 18.79 20.63 4.98 0 2.67 0 0 23.79 3.38 4.45
"25512_iso_1_len_845_ver_2" 13.87 14.93 10.85 2.37 1.83 1.9 1.81 0 3.14 0 0 2.25 1.88 3.34 0 2.17 1.32
"25513_iso_1_len_520_ver_2" 2.37 2.14 3.75 1.64 2.23 0 1.96 3.48 0 0 0 0 0 0 2.51 0 0
"25516_iso_1_len_457_ver_2" 0 0 0 0 14.7 29.19 4.07 9.99 14.8 0 0 3.17 0 0 12.13 5.58 15.89
"2551_iso_3_len_1738_ver_2" 0 0 0 1.56 6.95 6.49 11.32 9.7 9.76 4.05 12.66 4.9 7.63 0.82 5.73 6.79 6.51
"25521_iso_1_len_1202_ver_2" 12.59 10.93 9.35 6.99 0 1.32 1.63 0 1.14 0 0 1.23 0 7.14 1.46 1.5 1.28
"25522_iso_1_len_283_ver_2" 52.79 63.55 60.3 36.53 57.48 53.21 80.38 55.46 49.41 72.34 73.32 52.38 85.95 28.48 33.35 34.18 44.13
"25523_iso_2_len_552_ver_2" 2.75 1.89 2.64 0 0 0 0 3.99 3.42 5.85 9.15 5.55 6.96 0 0 12.32 10.5
"25524_iso_1_len_413_ver_2" 1.79 2.41 4.6 4.73 4.69 0 6.19 7.44 0 0 0 3.54 0 0 0 2.44 0
"2552_iso_2_len_1493_ver_2" 62.41 60.75 46.26 78.35 87.67 31.04 63.57 62.91 56.07 17.54 73.62 25.9 34.2 62.79 65.21 43.05 43.8
"25532_iso_2_len_1333_ver_2" 16.27 14.49 14.25 2.76 2.13 2.67 2.09 1.95 2.05 2.46 3.47 4.21 4.2 3.55 1.88 3.28 3.45
"25533_iso_1_len_339_ver_2" 0 0 0 0 11.33 22.78 7.21 12.01 14.54 6.07 0 3.77 0 0 4.4 3.34 5.95
"2553_iso_5_len_3084_ver_2" 89.41 84.25 88.49 137.74 85.92 56.94 89.78 89.48 75.19 60.11 61.26 72.48 55.17 143.41 72.64 55.72 64.01
"25541_iso_1_len_329_ver_2" 0 0 0 0 9.7 21.8 11.43 16.56 10.52 0 0 0 0 0 29.39 3.14 4.7
"25542_iso_1_len_504_ver_2" 0 0 0 1.98 12.81 28.47 15.75 16.79 23.11 10.03 5.04 4.69 2.32 0 41.06 7.28 4.99
"25545_iso_1_len_591_ver_2" 4.14 2.34 3.81 1.67 3.19 0 5.13 5.23 2.19 3.02 0 7.58 5.49 1.31 2.19 2.16 0
"25548_iso_1_len_786_ver_2" 12.52 12.21 9.18 22.51 2.62 0 0.97 3.12 2.21 0 0 0 3.63 81.47 1.87 3.69 3.26
"2554_iso_4_len_4786_ver_2" 4.61 3.15 4.5 4.22 43.18 22.31 52.98 56.72 34.17 12.75 29.24 28.34 33.59 1.54 88.36 16.27 10.96
"25551_iso_1_len_736_ver_2" 0 0 0 1.7 30.65 47.65 24.02 25.03 43.89 8.15 4.05 5.46 4.2 0 16.88 5.53 14.89
"25552_iso_1_len_459_ver_2" 0 0 0 1.72 30.89 43.29 15.01 17.24 30.51 8.32 5.58 8.8 3.6 0 32.18 11.32 20.33
"25553_iso_1_len_294_ver_2" 0 0 0 0 0 0 0 0 0 0 0 4.8 0 3.09 0 0 0
"25556_iso_1_len_450_ver_2" 3.42 2.35 4.01 6.22 0 0 4.76 2.26 0 0 0 0 3.41 2.46 6.46 2.22 0
"25557_iso_1_len_734_ver_2" 168.52 168.94 155.79 5.03 3.38 2.39 2.72 3.76 1.9 0 0 2.33 2.18 9.71 4.89 1.32 4.42
"25558_iso_1_len_578_ver_2" 5.36 8.38 8.23 21.48 9.25 6.15 5.8 5.18 11.61 3.71 7.85 1.94 2.01 18.28 4.71 11.22 17.26
"25559_iso_1_len_277_ver_2" 0 0 0 0 0 0 0 0 0 0 10.73 4.74 22.02 0 0 85.65 23.27
"2555_iso_1_len_1587_ver_2" 11.61 12.58 11.67 15.13 14.87 13.92 17.28 15.24 10.06 10.52 10.99 13.53 15.61 11.77 8.02 9.65 11.82
"25560_iso_1_len_287_ver_2" 0 0 0 0 9.36 11.7 6.38 7.06 18.84 0 0 0 0 0 18.83 6.95 6.75
"25562_iso_1_len_514_ver_2" 1.98 0 0 10.1 0 0 2.14 0 3.23 3.51 12.35 5.59 3.41 0 0 8.29 5.11
"25563_iso_1_len_364_ver_2" 0 0 0 0 14.36 7.41 12 12.24 3.69 5.1 0 0 0 0 5.55 0 0
"25564_iso_1_len_912_ver_2" 2.7 3.19 3.63 2.12 0 0 2.09 1.93 0 0 0 0 0 1.33 1.95 0 0
"25565_iso_1_len_305_ver_2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"25569_iso_1_len_1037_ver_2" 0 0 0 0 24.4 46.3 16.59 25.95 33.7 7.55 4.02 4.69 2.61 1.53 29.59 6.92 17.87
"2556_iso_2_len_1126_ver_2" 32.76 38.17 29.72 30.88 13.83 14.61 11.01 7.66 12.28 12.03 21.71 14.76 16.8 31.8 14.43 19.99 21.3
"25572_iso_1_len_329_ver_2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"25573_iso_1_len_426_ver_2" 0 0 0 0 6.29 16.74 5.61 4.31 8.77 0 0 2.94 0 0 10.59 4.25 7.35
"25577_iso_1_len_538_ver_2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"25579_iso_2_len_812_ver_2" 0 0 0 2.47 32.86 57.54 20.4 21.3 42.17 7.57 6.1 6.47 4.91 0 48.88 14.39 29.35
"2557_iso_4_len_6370_ver_2" 95.22 83.84 95.45 25.97 10.25 6.36 11.28 9.93 10.65 8.98 13.51 10.31 18.72 35 7.58 25.52 11.37
"25585_iso_1_len_1045_ver_2" 0 0 0 0.85 29.78 41.23 31.18 34.85 37.28 11.16 7.97 7.68 7.78 0 52.67 17.75 17.94
"25586_iso_1_len_471_ver_2" 0 0 0 0 13.78 12.66 6.71 12.25 10.4 5.01 0 4.39 0 0 15.37 0 8.3
"25587_iso_1_len_497_ver_2" 9.51 8.44 6.39 0 0 0 0 0 0 0 0 0 0 1.89 0 0 0
"25588_iso_1_len_286_ver_2" 0 0 0 0 7.05 11.74 13.96 18.64 15.39 0 0 4.19 0 0 11.63 4.41 5.08
"2558_iso_1_len_2495_ver_2" 20.02 20.64 17.81 24.74 23.66 16.52 27.65 28.13 21.17 18.4 17.92 19.49 15.44 24.98 26.55 13.68 14.87
"25591_iso_1_len_967_ver_2" 42.85 53.46 41.94 0 0 0 0 0 0 0 0 0 0 0 0 0 1.26
"25592_iso_1_len_368_ver_2" 0 0 0 0 18.91 33.12 18 20.81 24.23 5.04 0 4.31 7.19 0 14.26 11.36 14.37
"25593_iso_1_len_790_ver_2" 18.01 15.5 15.75 2.81 1.7 2.55 2.23 2.49 4.4 46.1 29.8 20.17 7.94 4.06 0 15.17 21.45
"25595_iso_1_len_1167_ver_2" 0 0 0 0.88 21.91 38.58 15.01 23.2 31.84 9.06 5.02 6.94 4.82 0 37.13 6.21 8.38
"25599_iso_1_len_447_ver_2" 1.64 0 0 0 0 0 3.37 3.41 0 0 0 0 0 0 0 0 0
"2559_iso_9_len_1258_ver_2" 114.42 121.2 116.85 195.42 208.61 139.26 217.55 203.93 151.05 109.76 91.44 137.21 119.72 173.4 199.95 91.37 94.83
"255_iso_1_len_1719_ver_2" 16.53 16.27 16.74 14.62 11.48 10.61 12.53 13.49 11.71 9.39 7.74 9.62 9.91 12.89 13.92 9.83 9.94
"25601_iso_1_len_406_ver_2" 2.73 2.63 5.1 2.77 2.65 0 8.08 7.58 0 7.69 0 4.38 4.4 0 0 2.74 0
"25602_iso_1_len_430_ver_2" 0 0 0 7.54 0 0 2.04 0 3.36 0 0 0 4.96 0 0 3.5 0
"25603_iso_1_len_323_ver_2" 0 0 0 2.3 0 0 0 0 0 0 0 0 0 0 0 0 0
"25604_iso_1_len_960_ver_2" 5.93 5.98 5.73 6.81 1.07 2.5 1.74 0 2.87 3.64 5.63 4.97 3.3 4.26 1.58 5.79 12.44
"25606_iso_1_len_316_ver_2" 3.12 2.31 4.03 0 0 0 0 0 0 0 0 0 0 0 4.33 0 0
"2560_iso_2_len_3474_ver_2" 13.16 12 11.73 14.69 11.42 8.04 13.75 12.1 8.83 8.08 7.24 8.84 7.3 18.79 15.41 5.62 5.09
"25615_iso_1_len_289_ver_2" 0 0 0 3.12 26.71 48.43 11.79 11.79 33.47 9.9 0 0 0 0 25.86 15.96 23.43
"25616_iso_1_len_338_ver_2" 0 0 0 0 10.71 27.93 4.34 6.8 30.63 0 0 3.15 0 0 27.32 8.82 18.95
"25617_iso_1_len_292_ver_2" 0 0 0 0 7.27 27.42 3.41 7.28 17.61 0 0 0 0 0 21.3 0 11.99
"25618_iso_1_len_886_ver_2" 0 0 0 0.94 11.58 25.37 8.35 6.29 20.42 3.95 2.78 2.7 3.08 0 22.07 7.71 17.91
"25619_iso_1_len_546_ver_2" 0 0 0 0 0 0 2.72 0 17.97 33.54 48.16 28.29 55.66 0 0 108.59 53.34
"2561_iso_2_len_1583_ver_2" 12.16 13.79 14.05 22.89 15.23 8.39 14.81 15.34 15.46 12.39 12.25 12.07 13.89 23.74 14.03 16.96 17.15
"25621_iso_1_len_287_ver_2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.43
"25624_iso_2_len_1653_ver_2" 86.46 79.12 80.9 61.63 2.32 0.79 3.58 3.08 3.22 16.95 19.04 14.45 51.87 40.87 0 34.05 10.94
"25628_iso_1_len_364_ver_2" 0 0 0 0 11.07 18.71 3.78 6.55 14.78 0 0 0 0 0 13.69 3.36 6.14
"25629_iso_1_len_964_ver_2" 10.43 9.15 7.09 2.75 1.59 0 0 0 2.05 0 0 0 0 1.43 2.85 0 0
"2562_iso_1_len_824_ver_2" 41.77 53.41 44.16 58.82 58.72 50.32 36.19 33.89 63.28 51.36 79.24 43.34 66.48 74.96 53.18 109.49 80.89
"25631_iso_4_len_745_ver_2" 2.67 2.2 2.24 4.11 7.77 3.8 3.82 4.36 4.52 0 0 0 1.84 5.96 2.58 2.47 0
"25632_iso_1_len_781_ver_2" 84.99 83.77 66.8 72.16 3.3 3.1 4.42 3.77 5.04 8.11 29.2 14.89 23.83 55.79 1.96 15.85 14.57
"25633_iso_1_len_307_ver_2" 172.49 252.85 181.95 131.8 58.21 46.65 29 35.44 61.71 58.58 96.41 98.02 90 148.09 47.42 208.39 328.27
"25635_iso_1_len_301_ver_2" 0 0 0 0 8.5 20.24 5.77 5.28 15.77 0 0 0 0 0 17.84 5.89 4.4
"25637_iso_1_len_590_ver_2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"25638_iso_2_len_1270_ver_2" 2 2.45 1.44 5.91 0 1.25 1.87 2.17 4.66 15.8 14.96 5.51 21.87 12.07 0 22.79 8.46
"25639_iso_1_len_1290_ver_2" 1.78 1.71 1.57 3.33 2.44 3.58 2.63 3.07 3.27 2.14 3.21 1.91 2 4.02 3.89 3.02 2.97
"2563_iso_3_len_8012_ver_2" 29.37 24.78 29.06 22.97 18.47 14.79 29.22 30.93 17.57 25.43 22.56 26.93 20.63 18.99 20.96 17.38 14.39
"25642_iso_1_len_843_ver_2" 2.35 1.93 3.66 2.13 2.07 0 3.81 3.95 3.56 4.58 0 5.1 9.99 2.35 2.72 3.43 1.32
"25643_iso_1_len_338_ver_2" 9.81 5.14 7.73 3.71 0 0 5.79 6.18 0 0 0 0 0 0 0 4.26 0
"25645_iso_1_len_364_ver_2" 0 0 0 0 14.06 26.12 9.55 15.66 25.19 0 0 2.91 5.63 0 19.98 5.33 5.17
"25646_iso_1_len_542_ver_2" 0 0 0 0 26.81 22.03 27.57 47.9 24 7.29 0 7.36 5.59 0 17.07 4.19 7.14
"25647_iso_2_len_300_ver_2" 0 0 0 0 0 0 2.76 0 0 0 0 0 0 0 4.82 0 0
"25649_iso_1_len_1081_ver_2" 0 0 0 1.14 20.74 28.51 30.53 37.33 30.7 9.81 0 9.98 3.96 0 15.05 3.36 6.93
"2564_iso_4_len_2140_ver_2" 27.93 26.56 27.76 29.76 57.65 35.25 86.58 87.61 57.84 106.32 63.73 114.54 91.51 34.71 63.5 79.46 55.83
"25654_iso_1_len_453_ver_2" 0 0 0 0 19.32 39.3 15.05 17.71 32.01 8.04 9.05 3.66 0 0 24.19 5.3 13.5
"25655_iso_1_len_296_ver_2" 52.76 45.24 41.97 101.35 142.4 82.98 226.66 239.17 124.8 206.27 102.27 211.96 218.39 63.34 147.77 90.03 91.62
"25658_iso_1_len_305_ver_2" 0 0 0 0 20.4 41.3 23 37.44 23.72 0 0 0 0 0 7.21 0 0
"2565_iso_5_len_2871_ver_2" 59.61 62.02 75.33 76.89 89.79 76.77 137.09 150.64 69.04 42.13 33.1 54.67 40.72 51.46 66.68 24 31.18
"25660_iso_1_len_517_ver_2" 6.31 9.44 8.32 5.5 0 0 2.13 0 5.51 4.88 16.69 6.35 9.04 3.03 0 14.56 9.28
"25663_iso_1_len_689_ver_2" 0 0 0 0 13.26 22.98 14.1 12.48 14.89 9.77 3.62 4.69 3.17 0 19.76 3.95 5.05
"25669_iso_1_len_617_ver_2" 0 0 0 1.14 34.71 36.85 23.89 37.87 31.37 8.95 0 6.25 7.87 0 20.74 6.51 16.29
"2566_iso_3_len_2350_ver_2" 33.18 33.46 30.26 37.95 32.94 20 29.69 32.25 31.11 34.17 37.98 40.46 25.37 42.17 36.97 28.04 51.78
"25670_iso_1_len_553_ver_2" 0 1.63 0 2.17 2.66 3.47 1.41 0 2.78 0 0 0 0 1.97 0 4.28 2.67
"25671_iso_1_len_294_ver_2" 0 0 0 0 0 0 0 0 0 0 0 0 4.62 0 0 0 0
"25672_iso_1_len_314_ver_2" 0 0 0 0 0 10.57 8.64 5.37 9.5 0 0 3.77 0 0 7.41 3.96 6.86
"25674_iso_1_len_392_ver_2" 0 0 0 12.42 78.3 176.8 26.62 34.38 159.45 20.22 17.22 14.73 12.2 2.65 118.38 51.16 66.46
"25675_iso_1_len_592_ver_2" 0 0 0 4.05 11.5 8.3 5.78 7.24 8.94 0 14.02 2.23 0 0 7.22 2.49 3.44
"25676_iso_1_len_346_ver_2" 0 0 0 0 21.82 48.64 9.75 13.1 29.66 5.67 0 4.92 0 0 19.76 11.85 12.48
"25678_iso_5_len_882_ver_2" 0 0 0 2.74 54.47 106.65 37.44 40.88 70.71 13.5 13.14 13.12 8.88 1.38 67.98 26.73 51.96
"25679_iso_1_len_1286_ver_2" 7.47 7.65 5.63 11.35 2.84 6.17 2.64 2.78 3.19 0 0 0 1.57 8.35 1.46 0 0
"2567_iso_1_len_1336_ver_2" 17.28 14.8 14.21 9.89 72.47 52.17 72.3 43.58 37.54 15 37.88 16.21 19.21 5.17 43.9 9.59 17.13
"25681_iso_2_len_1017_ver_2" 16.34 19.28 16.12 18.3 2.81 2.36 2.61 2.1 4.17 4.45 3.38 3.71 3.44 31.31 3.35 5.93 8.79
"25684_iso_1_len_369_ver_2" 4.65 5.64 4.07 0 0 0 0 0 0 0 0 0 0 2.84 0 0 0
"25686_iso_1_len_510_ver_2" 8.26 6.29 4.94 0 0 0 0 0 0 0 0 0 0 0 0 3.3 0
"25687_iso_1_len_301_ver_2" 0 0 0 0 5.91 13.01 0 0 7.06 0 0 0 0 0 12.35 0 8.79
"25689_iso_1_len_411_ver_2" 0 0 0 0 17.28 18.09 15.36 23.92 12.35 0 0 3.56 3.48 0 14.25 0 0
"2568_iso_2_len_396_ver_2" 357.73 363.47 365.33 95.82 83.97 35.18 39.9 33.87 25.72 0 8.52 4.37 0 37.06 12.48 0 5.01
"25693_iso_1_len_345_ver_2" 0 0 0 0 15.23 25.23 7.31 9.06 22.81 5.41 0 4.63 0 0 20.03 9.82 18.52
"25694_iso_1_len_309_ver_2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.72 4.27
"2569_iso_4_len_1344_ver_2" 68.66 75.48 69.9 72.97 84.16 47.82 75.72 66.91 67.35 60.92 60.09 62.71 104.9 90.88 77.66 85.16 62.79
"256_iso_6_len_3769_ver_2" 74.86 62.63 76.18 83.68 49.07 40.35 85.05 90.18 45.52 51.61 32.85 55.32 46.38 68.16 49.99 28.85 29.28
"25700_iso_1_len_292_ver_2" 0 0 0 0 15.3 19.94 9.38 11.29 15.04 9.14 0 0 0 0 11.83 5.38 0
"25702_iso_1_len_301_ver_2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"25707_iso_1_len_742_ver_2" 0 0 0 0 14.5 19.81 10.46 15.52 15.5 7.85 0 2.3 2.78 0 22.6 6.14 2.26
"25708_iso_1_len_1027_ver_2" 0 0 0 2.81 75.74 137.07 52.64 85.05 90.41 19.33 16.48 21.64 10.45 1.69 65.43 20.49 42.01
"25709_iso_2_len_480_ver_2" 6.23 3.94 3.4 3.42 0 0 0 0 0 0 0 0 0 1.97 0 2.07 0
"2570_iso_3_len_1281_ver_2" 10.16 11.28 7.6 13.36 9.97 7.43 8.29 10.02 12.53 4.32 7.61 6.31 3.77 13.48 8.52 7.2 10.1
"25711_iso_1_len_661_ver_2" 1.62 1.97 1.21 0 0 0 2.22 0 0 0 0 3.21 3.48 0 0 0 0
"25716_iso_1_len_312_ver_2" 0 0 0 0 28.05 6.48 10.81 19.26 7.97 0 0 0 0 0 6.59 0 0
"2571_iso_2_len_1853_ver_2" 79.13 87.44 79.25 133.66 98.48 72.52 89.19 88.47 78.51 56.22 61.46 63.5 61.08 143.06 75.33 59.19 71.29
"25724_iso_1_len_355_ver_2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"25725_iso_1_len_817_ver_2" 0 0 0 0 27.73 27.77 12.55 23.4 19.68 3.01 0 4.9 1.81 0 35.56 3.78 5.72
"25726_iso_1_len_721_ver_2" 0 0 0 1.35 27.44 37.45 16.75 22.97 40.33 7.11 4.83 5.86 4.29 0 31.47 10.23 13.82
"25728_iso_2_len_1031_ver_2" 168.61 125.08 143.31 34.69 3.46 1.42 4.56 3.67 5.11 5.74 25.69 10.39 10.4 12.47 1.84 6.96 8.67
"2572_iso_1_len_5140_ver_2" 6.31 5.81 5.99 8.42 6.44 2.99 6.19 7.27 4.68 3.95 5.84 4.91 3.79 7.8 5.97 5.06 4.07
"25730_iso_1_len_369_ver_2" 3.44 3.89 3.17 3.57 3.54 0 2.19 0 3.64 0 7.08 0 0 4.15 0 10.22 0
"25731_iso_1_len_1449_ver_2" 0 0 0.54 0 151.64 181.92 58.7 84.32 126.58 24.51 11.39 33.08 11.11 1.14 213.79 19.09 88.67
"25734_iso_1_len_415_ver_2" 0 0 0 0 5.18 11.14 4.23 6.16 10.76 0 0 0 0 0 6.41 4.37 4.76
"25736_iso_1_len_620_ver_2" 0 0 0 0 25.43 46.98 22.64 28.06 36.51 8.62 7.28 8.35 5.03 0 28.34 14.37 12.38
"2573_iso_4_len_751_ver_2" 59.25 64.39 57.75 67.13 89.06 47.37 52.76 46.12 63.54 32.4 48.61 39.06 47.06 61.69 69.5 66.96 45.83
"25745_iso_1_len_1126_ver_2" 0 0 0 2.31 26.84 59.02 15.31 16.35 43.85 7.86 3.69 9.31 3.3 0.94 37.02 14.91 24.23
"25746_iso_1_len_1602_ver_2" 0 0 0 0.42 39.91 56.12 44.37 80.7 47.08 14.28 5.29 9.18 3.48 0.65 29.05 5.37 9.8
"25747_iso_1_len_442_ver_2" 0 0 0 0 21.29 29.95 17.25 24.64 18.74 7.43 0 4.7 3.21 0 13.77 4.31 3.14
"2574_iso_5_len_2865_ver_2" 4.33 7.02 5.87 6.26 15.13 8.77 12.22 12.61 14.92 11 13.9 12.7 12.96 5.5 30.33 16.11 14.77
"25752_iso_1_len_369_ver_2" 0 0 0 0 11.49 8.83 6.13 6.45 10.92 0 0 0 0 0 14.58 0 0
"25754_iso_1_len_689_ver_2" 6.52 5.07 4.28 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"25755_iso_1_len_537_ver_2" 0 0 0 2.38 21.78 51.15 10.79 12.7 34.16 6.36 0 7.44 2.82 0 42 16.74 20.15
"25756_iso_1_len_322_ver_2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.94 0 0
"25757_iso_1_len_398_ver_2" 0 0 0 2.37 5.97 4.24 2.42 0 3.35 0 7.82 2.63 0 2.61 0 0 4.1
"25759_iso_1_len_928_ver_2" 0 0 0 0 19.43 35.83 14.6 19.34 26.04 6.78 3.98 4.83 2.08 0 27.05 7.76 13.13
"2575_iso_3_len_3248_ver_2" 9.87 8.77 9.89 11.53 14.68 11.41 18.84 17.54 14.55 20.38 17.26 24.05 23.37 10.15 13.41 21.41 18.42
"25761_iso_1_len_1212_ver_2" 0.98 0.66 1.67 1.18 3.02 1.64 5.29 7.02 2.26 0 0 0.81 0.93 1.06 3.52 0 0
"25763_iso_1_len_1115_ver_2" 0 0 0 0.92 26.39 28.56 20.75 30.16 21.53 11.06 5.04 5.77 3.13 0 17.06 6.33 7.4
"25765_iso_1_len_586_ver_2" 0 0 0 0 30.93 44.98 8.9 10.55 41.77 5.49 5.58 6.95 3.17 0 19.25 5.03 17.59
"25768_iso_1_len_650_ver_2" 0 0 0 0 12.34 14.62 7.86 9.15 17.27 0 0 2.34 2.48 0 21.21 6.46 5.89
"2576_iso_4_len_1907_ver_2" 33.64 42.28 36.85 61.39 70.09 51.58 70.65 70.17 56.69 46.83 48.61 53.41 48.5 61.48 68.46 51.12 64.25
"25775_iso_1_len_605_ver_2" 0 0 0 0 16.77 25.91 16.18 18.1 22.32 5.01 4.57 4.37 2.87 0 21.17 5.67 11.77
"25779_iso_1_len_461_ver_2" 0 0 0 0 14.79 21.69 16.48 15.84 19.47 5.13 0 4.72 0 0 24.31 2.17 4.5
"2577_iso_6_len_1521_ver_2" 32.99 33.24 28.41 48.98 29.74 23.7 27.02 30.14 28.7 22.64 33.33 30.83 29.89 47.54 27.02 35.4 33.58
"25780_iso_1_len_597_ver_2" 0 0 0 0 14.9 31.3 12.37 23.19 25 5.98 0 5.96 0 0 22.56 4.11 14.59
"25782_iso_1_len_1003_ver_2" 0 0 0 1.71 30.66 37.17 19.14 24.72 33.97 7.12 5.87 5.05 4.96 0 23.82 8.4 15.19
"25783_iso_1_len_934_ver_2" 62.79 51.08 39.18 23.68 2.63 0 1.14 0 1.48 0 4.22 0 1.46 15.68 4.48 2.26 2.96
"25784_iso_1_len_306_ver_2" 2.49 2.63 3.07 0 0 0 4.31 0 0 0 0 0 0 0 0 0 0
"25785_iso_1_len_464_ver_2" 0 1.51 2.29 12.97 12.85 24.53 8.35 5.9 24.23 27.8 21.51 20.97 58.66 32.13 14.77 163.07 38.21
"25788_iso_1_len_2107_ver_2" 0 0 0 5.92 39.85 70.75 23.27 29.41 41.06 12.02 5.95 6.62 3.95 0.42 53.02 20.08 22.08
"2578_iso_5_len_2024_ver_2" 24.28 38.09 31.48 20.52 43.99 85.01 54.27 46.22 64 63.53 60.41 134.13 89.11 42.29 39.71 106.36 151.08
"25790_iso_1_len_395_ver_2" 0 0 0 0 13.12 13.54 9.55 14.31 10.75 0 0 0 0 0 7.78 0 3.55
"25791_iso_1_len_254_ver_2" 144.44 137.34 149.26 15.99 10.77 0 10 6.41 7.56 16.84 16.17 11.77 17.87 25.26 0 33.64 14.06
"25792_iso_1_len_506_ver_2" 0 0 0 1.69 126.85 322.46 285.9 308.95 139.04 46.9 27.63 28.49 13.65 0 108.91 12.64 87.66
"25793_iso_1_len_285_ver_2" 0 0 0 0 9.44 22.04 19.57 20.96 17.22 0 0 4.97 0 0 8.76 5.53 7.65
"25795_iso_1_len_543_ver_2" 1.86 2.43 2.23 12 2.71 0 0 0 2.61 0 5.59 3.01 0 9.05 3.12 2.54 5.45
"25796_iso_1_len_307_ver_2" 7.69 3.82 4.17 0 10.12 0 8.59 8.26 5.28 0 0 0 0 0 4.47 0 0
"25799_iso_1_len_1894_ver_2" 3.02 1.86 2.16 4.78 3.45 2.49 3.67 2.83 2.68 1.72 1.91 2.17 1.17 5.62 2.95 2.54 3.38
"2579_iso_1_len_2751_ver_2" 16.88 13.57 14.85 13.76 13.22 7.72 15.19 17.12 11.5 5.95 7.77 5.44 7.6 15.39 12.5 7.35 6.56
"257_iso_1_len_1495_ver_2" 113.58 107.95 121.93 37.58 40.4 30.03 42.55 40.9 38.39 44.59 34.41 52.71 60.02 40.88 42.3 35.46 36
